Count:                  FREQ
--
1       25
2       8
3       7
4       4
5       9
6       3
7       25
8       36
9       14
10      13
11      25
12      19
13      8
14      17
15      20 
16      8
17      34
18      15
19      9
20      10
21      3
22      7
==
TOTAL: 319


Freq:
--
1       7.8
2       2.5
3       2.2
4       1.3
5       2.8
6       0.9
7       7.8
8       11.3
9       4.4
10      4.0
11      7.8
12      6.0
13      2.5
14      5.3
15      6.3
16      2.5
17      10.7
18      4.7
19      2.8
20      3.1
21      0.9
22      2.2
